medium	description	compound	name
H10_minimal_xylose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_minimal_xylose	M9 minimal medium (anaerobic)	h2o	H2O
H10_minimal_xylose	M9 minimal medium (anaerobic)	h	H+
H10_minimal_xylose	M9 minimal medium (anaerobic)	k	K+
H10_minimal_xylose	M9 minimal medium (anaerobic)	mg2	Mg
H10_minimal_xylose	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_minimal_xylose	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_minimal_xylose	M9 minimal medium (anaerobic)	na1	Na+
H10_minimal_xylose	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_minimal_xylose	M9 minimal medium (anaerobic)	pi	Phosphate
H10_minimal_xylose	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_minimal_glucose	Basic medium	cys__L	Cysteine
H10_minimal_glucose	Mineral solution	nh4	Ammonium
H10_minimal_glucose	Mineral solution	so4	Sulfate
H10_minimal_glucose	Vitamins solution	btn	Biotin
H10_minimal_glucose	Vitamins solution	4abz	4-aminobenzoate
H10_minimal_glucose	Vitamins solution	nac	Nicotinate
H10_minimal_glucose	Vitamins solution	ribflv	Riboflavin
H10_minimal_glucose	Oligoelemnts solution	no3	Nitrate
H10_minimal_glucose	Oligoelemnts solution	slnt	Selenite
H10_minimal_glucose	Sugar addition	glc__D	Glucose_D
H10_minimal_glucose	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_minimal_glucose	M9 minimal medium (anaerobic)	cl	Cl-
H10_minimal_glucose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_minimal_glucose	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_minimal_glucose	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_minimal_glucose	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_minimal_glucose	M9 minimal medium (anaerobic)	h2o	H2O
H10_minimal_glucose	M9 minimal medium (anaerobic)	h	H+
H10_minimal_glucose	M9 minimal medium (anaerobic)	k	K+
H10_minimal_glucose	M9 minimal medium (anaerobic)	mg2	Mg
H10_minimal_glucose	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_minimal_glucose	M9 minimal medium (anaerobic)	mobd	Molybdate
H10_minimal_glucose	M9 minimal medium (anaerobic)	na1	Na+
H10_minimal_glucose	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_minimal_glucose	M9 minimal medium (anaerobic)	pi	Phosphate
H10_minimal_glucose	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_minimal_mannose	Basic medium	cys__L	Cysteine
H10_minimal_mannose	Mineral solution	nh4	Ammonium
H10_minimal_mannose	Mineral solution	so4	Sulfate
H10_minimal_mannose	Vitamins solution	btn	Biotin
H10_minimal_mannose	Vitamins solution	4abz	4-aminobenzoate
H10_minimal_mannose	Vitamins solution	nac	Nicotinate
H10_minimal_mannose	Vitamins solution	ribflv	Riboflavin
H10_minimal_mannose	Oligoelemnts solution	no3	Nitrate
H10_minimal_mannose	Oligoelemnts solution	slnt	Selenite
H10_minimal_mannose	Sugar addition	man	Mannose
H10_minimal_mannose	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_minimal_mannose	M9 minimal medium (anaerobic)	cl	Cl-
