vmax_inner_option,km_inner_option,vmax_outer_option,km_outer_option,ki_option,r2
2.0,0.5,0.8333333333333333,3.333333333333333,4.641588833612778,0.39793810797123297
2.0,0.5,0.8333333333333333,3.333333333333333,10.0,0.3999363760086233
2.0,0.5,0.8333333333333333,4.0,1.0,0.24708327598126734
2.0,0.5,0.8333333333333333,4.0,2.154434690031884,0.25765143332457296
2.0,0.5,0.8333333333333333,4.0,4.641588833612778,0.2624960916862752
2.0,0.5,0.8333333333333333,4.0,10.0,0.26479274275870834
2.0,0.5,1.1666666666666665,2.0,1.0,-8.151483225648688
2.0,0.5,1.1666666666666665,2.0,2.154434690031884,-8.454843785507565
2.0,0.5,1.1666666666666665,2.0,4.641588833612778,-8.567097143519467
2.0,0.5,1.1666666666666665,2.0,10.0,-8.624956740200583
2.0,0.5,1.1666666666666665,2.6666666666666665,1.0,-4.742916083171256
2.0,0.5,1.1666666666666665,2.6666666666666665,2.154434690031884,-4.960023786685239
2.0,0.5,1.1666666666666665,2.6666666666666665,4.641588833612778,-5.063796639611936
2.0,0.5,1.1666666666666665,2.6666666666666665,10.0,-5.112645194133428
2.0,0.5,1.1666666666666665,3.333333333333333,1.0,-2.545937793818633
2.0,0.5,1.1666666666666665,3.333333333333333,2.154434690031884,-2.7166224739289513
2.0,0.5,1.1666666666666665,3.333333333333333,4.641588833612778,-2.7988733476041756
2.0,0.5,1.1666666666666665,3.333333333333333,10.0,-2.837708667037402
2.0,0.5,1.1666666666666665,4.0,1.0,-1.1353904384055498
2.0,0.5,1.1666666666666665,4.0,2.154434690031884,-1.26425505896895
2.0,0.5,1.1666666666666665,4.0,4.641588833612778,-1.3265905436933663
2.0,0.5,1.1666666666666665,4.0,10.0,-1.3560846314249813
2.0,0.5,1.5,2.0,1.0,-278.52005408056516
2.0,0.5,1.5,2.0,2.154434690031884,-288.07124053434137
2.0,0.5,1.5,2.0,4.641588833612778,-292.6618822802127
2.0,0.5,1.5,2.0,10.0,-294.15166747885536
2.0,0.5,1.5,2.6666666666666665,1.0,-184.31256182428007
2.0,0.5,1.5,2.6666666666666665,2.154434690031884,-192.01559626853805
2.0,0.5,1.5,2.6666666666666665,4.641588833612778,-195.77838371596476
2.0,0.5,1.5,2.6666666666666665,10.0,-197.5588951523295
2.0,0.5,1.5,3.333333333333333,1.0,-124.26885282740255
2.0,0.5,1.5,3.333333333333333,2.154434690031884,-130.38982610781258
2.0,0.5,1.5,3.333333333333333,4.641588833612778,-133.3569654120604
2.0,0.5,1.5,3.333333333333333,10.0,-134.97524009582258
2.0,0.5,1.5,4.0,1.0,-85.15089529530138
2.0,0.5,1.5,4.0,2.154434690031884,-89.76511077924411
2.0,0.5,1.5,4.0,4.641588833612778,-92.08714260449274
2.0,0.5,1.5,4.0,10.0,-93.18336578916545
2.0,0.8333333333333333,0.5,2.0,1.0,-1.2974312840546736
2.0,0.8333333333333333,0.5,2.0,2.154434690031884,-1.2958323883677223
2.0,0.8333333333333333,0.5,2.0,4.641588833612778,-1.295087172297106
2.0,0.8333333333333333,0.5,2.0,10.0,-1.2947406071846221
2.0,0.8333333333333333,0.5,2.6666666666666665,1.0,-1.336918985911638
2.0,0.8333333333333333,0.5,2.6666666666666665,2.154434690031884,-1.335027399867168
2.0,0.8333333333333333,0.5,2.6666666666666665,4.641588833612778,-1.3341448991481033
2.0,0.8333333333333333,0.5,2.6666666666666665,10.0,-1.3337343007024387
2.0,0.8333333333333333,0.5,3.333333333333333,1.0,-1.3723124872313002
2.0,0.8333333333333333,0.5,3.333333333333333,2.154434690031884,-1.3701811661119723
2.0,0.8333333333333333,0.5,3.333333333333333,4.641588833612778,-1.3691888491754054
2.0,0.8333333333333333,0.5,3.333333333333333,10.0,-1.368717719772508
2.0,0.8333333333333333,0.5,4.0,1.0,-1.4052605336120814
