vmax_inner_option,km_inner_option,vmax_outer_option,km_outer_option,ki_option,r2
10.0,0.1,0.1,1.0,10.0,-1.5962288893286867
10.0,0.1,0.1,10.0,0.1,-1.5962288893286867
10.0,0.1,0.1,10.0,1.0,-1.5962288893286867
10.0,0.1,0.1,10.0,10.0,-1.5962288893286867
10.0,0.1,1.0,0.1,0.1,-17.99073203774427
10.0,0.1,1.0,0.1,1.0,-18.00892071989371
10.0,0.1,1.0,0.1,10.0,-18.010740539701885
10.0,0.1,1.0,1.0,0.1,-9.290827618263675
10.0,0.1,1.0,1.0,1.0,-9.385751341803898
10.0,0.1,1.0,1.0,10.0,-9.395299250985422
10.0,0.1,1.0,10.0,0.1,0.6263388635827243
10.0,0.1,1.0,10.0,1.0,0.6404177658793099
10.0,0.1,1.0,10.0,10.0,0.6418252656924284
10.0,0.1,10.0,0.1,0.1,-6261.493081964388
10.0,0.1,10.0,0.1,1.0,-6263.186809604581
10.0,0.1,10.0,0.1,10.0,-6263.353134029819
10.0,0.1,10.0,1.0,0.1,-6127.116587295031
10.0,0.1,10.0,1.0,1.0,-6136.14173419651
10.0,0.1,10.0,1.0,10.0,-6137.150002862349
10.0,0.1,10.0,10.0,0.1,-5283.145214012767
10.0,0.1,10.0,10.0,1.0,-5310.185287776702
10.0,0.1,10.0,10.0,10.0,-5314.897449956091
10.0,1.0,0.1,0.1,0.1,-1.5962288893286867
10.0,1.0,0.1,0.1,1.0,-1.5962288893286867
10.0,1.0,0.1,0.1,10.0,-1.5962288893286867
10.0,1.0,0.1,1.0,0.1,-1.5962288893286867
10.0,1.0,0.1,1.0,1.0,-1.5962288893286867
10.0,1.0,0.1,1.0,10.0,-1.5962288893286867
10.0,1.0,0.1,10.0,0.1,-1.5962288893286867
10.0,1.0,0.1,10.0,1.0,-1.5962288893286867
10.0,1.0,0.1,10.0,10.0,-1.5962288893286867
10.0,1.0,1.0,0.1,0.1,-9.230198488825799
10.0,1.0,1.0,0.1,1.0,-9.331305582561471
10.0,1.0,1.0,0.1,10.0,-9.341523266684142
10.0,1.0,1.0,1.0,0.1,-3.8131871858092747
