vmax_inner_option,km_inner_option,vmax_outer_option,km_outer_option,ki_option,r2
3.1622776601683795,1.0,1.0,3.1622776601683795,0.1,0.915060575982468
3.1622776601683795,1.0,1.0,3.1622776601683795,1.0,0.9820686521542421
3.1622776601683795,1.0,1.0,3.1622776601683795,10.0,0.9817299539315528
3.1622776601683795,1.0,1.0,10.0,0.1,-0.36960155393283745
3.1622776601683795,1.0,1.0,10.0,1.0,-0.06007965172839569
3.1622776601683795,1.0,1.0,10.0,10.0,-0.02164508102744267
3.1622776601683795,1.0,3.1622776601683795,1.0,0.1,-3982.465124768494
3.1622776601683795,1.0,3.1622776601683795,1.0,1.0,-4301.381133481869
3.1622776601683795,1.0,3.1622776601683795,1.0,10.0,-4324.293986563116
3.1622776601683795,1.0,3.1622776601683795,3.1622776601683795,0.1,-2975.850285407388
3.1622776601683795,1.0,3.1622776601683795,3.1622776601683795,1.0,-3464.2188823793217
3.1622776601683795,1.0,3.1622776601683795,3.1622776601683795,10.0,-3554.9207733411004
3.1622776601683795,1.0,3.1622776601683795,10.0,0.1,-1353.665868600279
3.1622776601683795,1.0,3.1622776601683795,10.0,1.0,-2332.456634173832
3.1622776601683795,1.0,3.1622776601683795,10.0,10.0,-2391.284308939555
3.1622776601683795,1.0,10.0,1.0,0.1,-5873.616394858223
3.1622776601683795,1.0,10.0,1.0,1.0,-6083.108442457455
3.1622776601683795,1.0,10.0,1.0,10.0,-6120.547523859265
3.1622776601683795,1.0,10.0,3.1622776601683795,0.1,-5461.6197999302785
3.1622776601683795,1.0,10.0,3.1622776601683795,1.0,-5815.726715829338
3.1622776601683795,1.0,10.0,3.1622776601683795,10.0,-5880.628877092829
3.1622776601683795,1.0,10.0,10.0,0.1,-4493.015491856268
3.1622776601683795,1.0,10.0,10.0,1.0,-5199.867017664149
3.1622776601683795,1.0,10.0,10.0,10.0,-5290.875096469539
3.1622776601683795,10.0,1.0,1.0,0.1,-1.5289289049367487
3.1622776601683795,10.0,1.0,1.0,1.0,-1.5078389050695833
3.1622776601683795,10.0,1.0,1.0,10.0,-1.5041549439477486
3.1622776601683795,10.0,1.0,3.1622776601683795,0.1,-1.5816950704067145
3.1622776601683795,10.0,1.0,3.1622776601683795,1.0,-1.5521500509236836
3.1622776601683795,10.0,1.0,3.1622776601683795,10.0,-1.5478080584970804
3.1622776601683795,10.0,1.0,10.0,0.1,-1.5962288893286867
3.1622776601683795,10.0,1.0,10.0,1.0,-1.59591816057717
3.1622776601683795,10.0,1.0,10.0,10.0,-1.594859046849487
3.1622776601683795,10.0,3.1622776601683795,1.0,0.1,-3.4480412720331826
